NAME20,INTPTLAT20,INTPTLON20,Area
"South Lyon--Hamburg--Genoa, MI",42.519859,-83.8037363,335425905.648
"Carbondale, IL",37.7432579,-89.2563344,57396454.423
"Columbia, MO",38.9433029,-92.3295218,174755360.66
"Stillwater, OK",36.131496,-97.0744638,66132717.643
"Elmira, NY",42.0864045,-76.8251795,83278254.69
"St. Joseph, MO--KS",39.7613104,-94.8347327,115984309.204
"Monroe, LA",32.5215159,-92.116599,241306473.021
"Laconia, NH",43.542236,-71.4436127,81072888.32
"Anderson, IN",40.0862465,-85.676223,135515898.138
"Waterville, ME",44.5514214,-69.6541625,47049680.789
"Grand Forks, ND--MN",47.9146159,-97.0665665,68832364.978
"Mandeville--Covington, LA",30.4336769,-90.1070663,222868986.593
"Lincoln, NE",40.8089549,-96.6789437,246890674.052
"Elkhart, IN--MI",41.6623383,-85.9244955,253978458.434
"Rockland, ME",44.0888007,-69.1213392,34557952.448
"Traverse City--Garfield, MI",44.7409262,-85.6114239,143730852.54
"Waterbury, CT",41.5454294,-73.0420363,243451691.22700003
"Fort Smith, AR--OK",35.3760077,-94.3622062,192429125.123
"Akron, OH",41.0733416,-81.4953545,793719743.899
"Houma, LA",29.6769937,-90.7494971,247382932.534
"Flint, MI",43.0121719,-83.6805397,536558738.577
"Baton Rouge, LA",30.4108393,-91.0328624,1037828677.098
"Ann Arbor, MI",42.237327,-83.6493908,384889025.105
"Port Huron, MI",42.8723984,-82.4839052,137551951.192
"Midland, MI",43.6288468,-84.2325355,99781063.014
"Dubuque, IA--IL",42.5032721,-90.6998865,88720436.571
"Lawrence, KS",38.9595506,-95.2654681,78581521.55
"Bloomington--Normal, IL",40.4937711,-88.9789912,131000161.77199998
"Detroit Lakes, MN",46.782961,-95.8425445,49517225.076
"Jackson, MS",32.3276874,-90.1567063,621118708.2359998
"Champaign, IL",40.1063383,-88.247566,121473686.295
"Shreveport, LA",32.4839177,-93.7618052,475046880.827
"Decatur, IL",39.8447144,-88.9346048,150324839.103
"Des Moines, IA",41.6209977,-93.6652328,589312756.186
"Watertown, WI",43.190745,-88.728712,28080672.283
"Brunswick, ME",43.9157366,-69.9106191,73309559.162
"Lewiston, ME",44.0787048,-70.1954802,83551146.528
"Corpus Christi, TX",27.7493588,-97.4172292,338474903.17
"Manhattan, KS",39.1847233,-96.6041633,67078629.225
"Saginaw, MI",43.4359426,-83.9691635,173480407.455
"Fort Wayne, IN",41.0976193,-85.1474337,424398366.891
"Toledo, OH--MI",41.636709,-83.6088822,643741458.758
"Lansing, MI",42.7211908,-84.5402649,412275124.134
"DeKalb, IL",41.9488743,-88.7236293,67014365.72
"Denton--Lewisville, TX",33.1949708,-97.1210538,394658802.179
"Wichita, KS",37.6834601,-97.3256629,600669335.041
"St. Cloud, MN",45.5678897,-94.1961974,144149368.952
"Barnstable Town, MA",41.627072,-70.6166101,974181608.4210001
"Duluth, MN--WI",46.7665144,-92.1277932,185981703.924
"Stillwater, MN--WI",45.0368561,-92.8263367,43523123.944
"Grafton--Port Washington--Cedarburg, WI",43.3361119,-87.9485699,60787805.272
"Kansas City, MO--KS",39.0412437,-94.6063588,1870927702.871
"Rockport, TX",28.0652867,-97.0498345,50988624.78800001
"New Bedford, MA",41.6649199,-70.9376742,166554987.843
"Green Bay, WI",44.5024596,-88.0398863,301750563.152
"Manitowoc, WI",44.1124813,-87.6546513,63483222.273
"Burlington, VT",44.4701469,-73.1522619,163197054.364
"Davenport, IA--IL",41.5231981,-90.5144797,369031448.622
"Indianapolis, IN",39.815038,-86.1440681,1897269833.456
"Lafayette, LA",30.1904502,-92.0330568,418005280.811
"Roanoke, VA",37.2953202,-79.9633994,327089963.696
"Canandaigua, NY",42.871921,-77.2867325,33959400.593
"Memphis, TN--MS--AR",35.0841431,-89.9152879,1281615574.079
"Sheboygan, WI",43.752369,-87.7591361,92547244.01300001
"Leominster--Fitchburg, MA",42.5558269,-71.8247801,142578223.038
"The Woodlands--Conroe, TX",30.2198367,-95.4883684,571707177.881
"Barre--Montpelier, VT",44.2134895,-72.528308,37661828.909
"Aransas Pass--Port Aransas--Ingleside, TX",27.901076,-97.1536233,64378698.233
"Lima, OH",40.7346957,-84.1283991,129807503.546
"Jamestown, NY",42.1113932,-79.2140852,68733173.873
"Stoughton, WI",42.9289547,-89.2362492,17669442.02
"North Windham, ME",43.8328904,-70.4334577,36764069.87
"Boothbay Harbor, ME",43.8354841,-69.6221629,39906021.938
"Findlay, OH",41.0497319,-83.6397018,66800034.135
"Vineyard Haven--Edgartown--Oak Bluffs, MA",41.4229575,-70.5744419,46457201.491
"Bemidji, MN",47.4845204,-94.8942295,40196221.348
"Frankfort, MI",44.6376098,-86.2277588,11106800.19
"Valparaiso--Shorewood Forest, IN",41.4775157,-87.0616155,89421067.279
"Fond du Lac, WI",43.7798755,-88.4453124,64757421.469
"Eau Claire, WI",44.8496005,-91.4599127,172096956.166
"Oklahoma City, OK",35.4968689,-97.5355708,1112167525.947
"Rome, NY",43.2327725,-75.4355182,44936001.892
"Utica, NY",43.089848,-75.2659335,135290878.045
"Fayetteville--Springdale--Rogers, AR--MO",36.2626668,-94.1843228,519787216.407
"Augusta, ME",44.3238561,-69.807516,58613081.897
"Longview, TX",32.5060786,-94.7592575,234680069.659
"Catskill, NY",42.2128254,-73.8696118,16859655.903
"Saratoga Springs, NY",43.0896304,-73.7661699,144499372.538
"Glens Falls, NY",43.3422435,-73.660113,141503361.587
"Binghamton, NY",42.1085203,-75.9642314,188537401.727
"Tyler, TX",32.3164868,-95.3131255,213365194.141
"College Station--Bryan, TX",30.6238125,-96.3342046,211578134.144
"Lynchburg, VA",37.3899992,-79.20133,239122241.043
"Keene, NH",42.9389116,-72.288129,38072615.272
"Madison, WI",43.0419689,-89.4922081,391041784.6909999
"Louisville/Jefferson County, KY--IN",38.2226166,-85.6873443,1058544841.032
"Athens, OH",39.332266,-82.1048731,24855599.881
"Charleston, WV",38.3550314,-81.6657381,261430595.553
"Syracuse, NY",43.0947083,-76.1544195,482434022.149
"Wausau, WI",44.9013083,-89.6335054,134905733.477
"Kerrville, TX",30.0600599,-99.147409,56953912.634
"Ithaca, NY",42.4588739,-76.4924159,64151129.189
"Staunton--Waynesboro, VA",38.0784181,-78.9113564,101842930.188
"Nacogdoches, TX",31.6082836,-94.6532993,64959814.926
"Erie, PA",42.0888667,-80.1126924,190541077.371
"Albany--Schenectady, NY",42.7429654,-73.7993237,716746869.879
"Canton, OH",40.8440537,-81.4237296,469940739.95
"Meadville, PA",41.6429407,-80.1546932,40835503.352
"Blacksburg--Christiansburg, VA",37.1853247,-80.4132199,88140543.91799998
"Houghton--Hancock, MI",47.1193881,-88.5772219,21194851.593
"Portland, ME",43.6249009,-70.3311289,337608557.627
"Dover--Rochester, NH--ME",43.2587391,-70.9186668,138178483.878
"Alexandria, MN",45.8918626,-95.3788325,77391301.334
"Portsmouth, NH--ME",43.0279002,-70.8455833,313905379.943
"Provincetown, MA",42.0728562,-70.1790682,32298239.74
"Morehead City--Emerald Isle--Atlantic Beach, NC",34.7290903,-76.8622005,124954454.007
"Oshkosh, WI",44.0260838,-88.5701945,89129306.504
"Iowa City, IA",41.6828316,-91.570692,133162837.956
"Norwich--New London, CT",41.4113864,-72.0980877,333057640.069
"Danbury, CT--NY",41.4496535,-73.4232583,322469820.156
"Scranton, PA",41.3059416,-75.803513,428719595.041
"Waco, TX",31.5415622,-97.1640133,234081049.24600002
"Chicago, IL--IN",41.8304099,-87.9086694,6156311900.555
"Boston, MA--NH",42.3789986,-71.1423438,4474416491.871
"Sioux Falls, SD",43.534407,-96.7356265,176951473.08300003
"Williamsport, PA",41.249887,-76.992144,74996944.834
"Lafayette, IN",40.4177448,-86.8801273,180411144.873
"Houston, TX",29.7730212,-95.4003948,4606031788.277
"Pittsburgh, PA",40.4593201,-79.9601642,2391172399.197
"Youngstown, OH",41.1363996,-80.7058037,511610448.402
"Cedar Rapids, IA",41.989546,-91.6664295,225274855.366
"Ames, IA",42.0246098,-93.6291237,58118102.126
"New York--Jersey City--Newark, NY--NJ",40.7121519,-73.9501839,8960842618.794
"Plattsburgh, NY",44.6884107,-73.4697654,63010704.247
"Mansfield, OH",40.7592454,-82.5273344,123742587.74
"Providence, RI--MA",41.8016313,-71.3780003,1495851240.428
"Jefferson City, MO",38.5690859,-92.224808,89489636.293
"Nashua, NH--MA",42.8280847,-71.5005451,515829385.815
"Lorain--Elyria, OH",41.4158403,-82.1466539,236983093.581
"Kenosha, WI",42.5711391,-87.8735031,146121981.633
"Racine, WI",42.7381829,-87.8328396,136726104.814
"Columbus, OH",40.0204692,-82.9708034,1357217765.6859999
"Springfield, IL",39.7876885,-89.6489661,212294847.849
"Pittsfield, MA",42.4623848,-73.2353794,83044469.025
"Manchester, NH",42.9921561,-71.4743764,213763825.833
"Newark, OH",40.0216365,-82.4498857,123098972.636
"Mount Pleasant, MI",43.5944779,-84.7600535,38701937.374
"Terre Haute, IN",39.4620483,-87.3763751,122311724.679
"Concord, NH",43.2642259,-71.5810638,71039144.951
"Galveston--Texas City, TX",29.3646346,-94.997589,290248294.855
"Milwaukee, WI",43.0512232,-88.0851008,1227046876.87
"Texarkana, TX--AR",33.4406474,-94.0683545,173593112.138
"Janesville, WI",42.6922491,-89.0055361,96332064.817
"Hot Springs Village, AR",34.6552288,-92.951495,58291294.603
"Geneva, NY",42.830821,-76.9842543,44156744.504
"Bangor, ME",44.7988654,-68.8066362,137213008.81
"Manistee, MI",44.2282765,-86.3064401,23894024.024
"Rochester, NY",43.1449671,-77.5771171,771672758.207
"Alton, IL",38.8985282,-90.1212656,156977293.486
"St. Louis, MO--IL",38.636376,-90.3414179,2389820986.43
"Virginia Beach--Norfolk, VA",36.9143078,-76.2910797,1445113637.865
"Greenfield, MA",42.608294,-72.5617145,37161824.26
"Kill Devil Hills--Nags Head, NC",36.103289,-75.7172995,89092853.69099998
"Poughkeepsie--Newburgh, NY",41.5966931,-73.9270649,552447768.326
"Kingston, NY",41.9837136,-73.9949009,82679293.013
"Cincinnati, OH--KY",39.1808005,-84.4605843,1970593991.731
"Springfield, MA--CT",42.1313937,-72.5829288,539586671.587
"Red Wing, MN",44.5551064,-92.5455223,21395726.779
"Belfast, ME",44.4168396,-68.9944595,9192523.885
"Springfield, MO",37.1586499,-93.2800119,348213142.32699996
"Benton Harbor--Lincoln--St. Joseph, MI",42.0522761,-86.4803807,139268117.217
"Worcester, MA--CT",42.2312978,-71.7374261,704928444.962
"Cumberland, MD--WV--PA",39.6431681,-78.8062552,82769656.85200001
"Fremont, NE",41.4420284,-96.4972735,36510120.944
"New Castle, IN",39.9150113,-85.369608,19915357.654
"Brattleboro, VT",42.8587194,-72.574444,15073100.804
"Harrisonburg, VA",38.4194211,-78.8867874,80748297.353
"Little Rock, AR",34.7569615,-92.3262756,701815769.12
"Bloomington, IN",39.1660912,-86.5529071,111469725.409
"Buffalo, NY",42.9310992,-78.8120602,889842450.826
"Huntington, WV--KY--OH",38.4490324,-82.3633521,360898867.594
"Kalamazoo, MI",42.2473993,-85.5924002,298181662.094
"Battle Creek, MI",42.3131312,-85.2025195,126737371.497
"Waterloo, IA",42.4953291,-92.3784349,170758285.148
"Holland, MI",42.8003652,-86.101547,176584803.27
"Jackson, MI",42.240704,-84.4032925,137815340.005
"Topeka, KS",39.0361787,-95.6935068,221704325.629
"La Crosse, WI--MN",43.8626017,-91.2394189,115696848.30900002
"Grand Rapids, MI",42.9424363,-85.6596285,726483381.5230001
"Evansville, IN",38.0072077,-87.5261768,294939751.417
"Lake Charles, LA",30.2132066,-93.2515349,333156253.482
"Rockford, IL",42.2916963,-89.0173175,352008381.757
"Dallas--Fort Worth--Arlington, TX",32.8109752,-96.9729815,4588693838.68
"Muskegon--Norton Shores, MI",43.1584188,-86.2082132,307233799.862
"Minneapolis--St. Paul, MN",44.9744585,-93.283077,2801773552.046
"Hartford, CT",41.7702707,-72.7028702,1411758073.857
"New Haven, CT",41.3206548,-72.8786975,797491171.038
"Cleveland, OH",41.4459191,-81.6015422,1860683146.242
"Bridgeport--Stamford, CT--NY",41.2104625,-73.3126485,1057164538.665
"Peoria, IL",40.6957436,-89.5846448,389291536.40700006
"Cape Girardeau, MO--IL",37.3378646,-89.5855597,80973095.336
"San Antonio, TX",29.5084166,-98.5185598,1597501736.746
"Fenton, MI",42.796909,-83.7516395,91241787.24
"Daytona Beach--Palm Coast--Port Orange, FL",29.27457,-81.0861655,581577875.0509999
"Exeter, NH",42.9856964,-70.9266146,30702863.52
"East Hampton North--Springs--Northwest Harbor, NY",40.9814112,-72.1936036,98727670.705
"Storrs, CT",41.8137005,-72.2602068,20451740.473
"Riverhead--Southold, NY",41.0008408,-72.5400476,142812112.045
"Lebanon, NH--VT",43.6621506,-72.2749914,84947744.96599999
"Westerly, RI--CT",41.3632591,-71.8093903,67793098.934
"Durham, NH",43.1392351,-70.9299028,10516682.826
"Sandusky--Port Clinton, OH",41.5509219,-82.8368513,153112112.846
"Sebastopol, CA",38.3851098,-122.8194285,39352742.517
"McKinleyville, CA",40.9505135,-124.1050324,20450994.44
"Grants Pass, OR",42.4389208,-123.3112084,80864568.183
"Medford, OR",42.3316368,-122.8440903,163613903.861
"Grass Valley, CA",39.1916261,-121.0579574,76851436.599
"Billings, MT",45.7874587,-108.5371198,142004379.401
"Petaluma, CA",38.2485137,-122.6409384,54516512.67099999
"Pueblo, CO",38.2659188,-104.5964425,143795744.386
"Roseburg, OR",43.2249563,-123.3520911,54693702.343
"Salinas, CA",36.6744236,-121.662088,77494053.041
"Astoria, OR",46.1900585,-123.8102921,25304067.226
"Santa Clarita, CA",34.4297662,-118.5230964,203063662.355
"Moscow, ID",46.7317406,-116.9971622,16597881.337
"Durango, CO",37.287672,-107.867815,24563273.066000003
"St. George, UT",37.10472,-113.5631973,158091625.818
"Modesto, CA",37.6545901,-120.9771301,183220685.262
"Ogden--Layton, UT",41.1230763,-111.9748985,552020262.731
"Los Angeles--Long Beach--Anaheim, CA",33.9849958,-118.122395,4287640074.5450006
"McCall, ID",44.9128453,-116.0957142,15825101.475
"Freeland, WA",48.0087875,-122.5431766,31628328.315
"Castle Rock, CO",39.3996898,-104.8650456,92500027.832
"Eugene, OR",44.0695206,-123.0856851,190490760.211
"Florence, OR",44.0059127,-124.1114929,20708747.02
"Green Valley, AZ",31.8669879,-110.9900561,52278341.138000004
"Sequim, WA",48.097209,-123.1449442,82625785.729
"Port Townsend, WA",48.1205216,-122.7869553,15653975.273
"Bellingham, WA",48.7730072,-122.4808812,137531142.576
"Lincoln City, OR",44.9777993,-124.0014186,19835565.455
"Jackson, WY",43.4723447,-110.7731537,7545358.161
"Bandon, OR",43.1062078,-124.420961,12643865.438
"Breckenridge, CO",39.48617,-106.0393202,28857628.239
"Coos Bay, OR",43.3811291,-124.2427715,40273304.96299999
"Silverthorne--Keystone, CO",39.6305313,-106.0518629,29065498.955
"Hood River, OR--WA",45.7117844,-121.5173891,24182537.823
"Provo--Orem, UT",40.3007801,-111.7493164,418011682.457
"Port Angeles, WA",48.1095139,-123.4233866,43277973.237
"Olympia--Lacey, WA",47.0284657,-122.8553874,288589763.011
"Mount Vernon, WA",48.461058,-122.3186526,80860091.347
"Anacortes, WA",48.4918676,-122.6390491,26437095.736
"Centralia, WA",46.7279591,-122.9806729,79515767.294
"Birch Bay, WA",48.947603,-122.7358827,34207712.623
"Yakima, WA",46.6058422,-120.5431575,145266963.44
"Wenatchee, WA",47.427367,-120.3083842,87022195.143
"Oak Harbor, WA",48.2955966,-122.6691502,61484488.319
"El Paso de Robles (Paso Robles)--Atascadero, CA",35.4445726,-120.6244753,77718572.464
"Fraser, CO",39.9253003,-105.7884149,11548322.41
"Newport, OR",44.6335597,-124.0587331,25094625.284
"Sonora--Twain Harte, CA",38.0049505,-120.3136283,75887218.256
"Incline Village, NV--CA",39.2583943,-119.956887,54737862.331
"Waldport, OR",44.426122,-124.0514579,14432186.169
"Reno, NV--CA",39.5291876,-119.7957276,431336875.668
"Glenwood Springs, CO",39.5437593,-107.3348944,14143471.531
"Steamboat Springs, CO",40.4608964,-106.8156652,26216923.527
"Santa Maria, CA",34.9139743,-120.4405746,70285262.059
"San Diego, CA",32.9118714,-117.1304525,1785366023.454
"Sacramento, CA",38.6373888,-121.332023,1224384597.127
"Truckee, CA",39.3419196,-120.2112851,53512193.629
"Las Vegas--Henderson--Paradise, NV",36.1341652,-115.1591806,1128930864.757
"Chico, CA",39.7555289,-121.8409789,87466969.361
"Santa Barbara, CA",34.4297419,-119.7277695,144655418.077
"Redding, CA",40.5660762,-122.3549903,176848815.453
"Eureka, CA",40.7754649,-124.1663422,52431004.083
"Sonoma, CA",38.2984706,-122.4728854,36481221.199
"Salem, OR",44.9331549,-123.0034542,188419964.549
"Santa Rosa, CA",38.4520211,-122.7286834,206096058.328
"Seattle--Tacoma, WA",47.462654,-122.274517,2695255990.739
"Seaside, OR",46.0070491,-123.9186538,13118416.824
"Bremerton, WA",47.6159097,-122.6261802,463010106.66400003
"Marysville, WA",48.0500985,-122.1345926,180484808.719
"La Grande, OR",45.3289099,-118.0804013,16021690.209
"Davis, CA",38.550686,-121.7353938,31590600.551
"Woodland, CA",38.6742338,-121.7615289,33062982.034
"Napa, CA",38.309526,-122.2917079,53137778.93599999
"Denver--Aurora, CO",39.7321492,-104.9593876,1698709711.021
"Colorado Springs, CO",38.8729518,-104.7706431,519995392.876
"Missoula, MT",46.8798631,-114.0316596,115302903.826
"Lincoln Beach, OR",44.8492804,-124.0466024,7592166.045
"Phoenix West--Goodyear--Avondale, AZ",33.4679624,-112.3639331,331523754.327
"Rockaway Beach, OR",45.6105769,-123.942706,5045816.864
"Bayside Gardens--Manzanita, OR",45.7174095,-123.9186658,7723111.791
"Oxnard--San Buenaventura (Ventura), CA",34.2591347,-119.2090646,202420746.463
"Thousand Oaks, CA",34.1952023,-118.8553998,210375194.768
"Park City--Snyderville, UT",40.6787331,-111.5067206,38581938.573
"Nampa, ID",43.6033653,-116.5969594,171016500.34
"Idaho Falls, ID",43.4943881,-112.0056135,107539215.547
"Santa Cruz, CA",37.0634007,-122.0004342,157071378.071
"Aspen, CO",39.1982258,-106.8411501,13496010.006
"San Francisco--Oakland, CA",37.784954,-122.2700879,1361865079.582
"El Paso, TX--NM",31.7861475,-106.3897824,665296091.1819999
"Las Cruces, NM",32.3364226,-106.7642378,167030905.497
"Half Moon Bay, CA",37.4605031,-122.4436697,21598529.91
"Estes Park, CO",40.3591491,-105.5296167,32169265.475
"Fort Collins, CO",40.5630922,-105.1118837,323805278.395
"Bozeman, MT",45.677082,-111.0556474,55544072.677
"Portland, OR--WA",45.5157565,-122.6465348,1372733860.121
"Cheyenne, WY",41.139752,-104.8009836,87964119.613
"Lewiston, ID--WA",46.3892045,-117.0273147,73695402.779
"Albany, OR",44.6351182,-123.0934031,59886648.866
"Corvallis, OR",44.5678148,-123.2923409,45324948.6
"Walla Walla, WA--OR",46.0613961,-118.3342131,61890748.148
"Pullman, WA",46.7344442,-117.176283,21071355.582
"South Lake Tahoe, CA--NV",38.9204525,-119.9775142,51033812.89699999
"Spokane, WA",47.6783116,-117.3519846,450330610.0159999
"Bend, OR",44.0509686,-121.3182196,110621009.09499998
"Watsonville, CA",36.9279777,-121.7773324,38944159.206
"Salt Lake City, UT",40.6457676,-111.9318349,778575518.041
"Seaside--Monterey--Pacific Grove, CA",36.601889,-121.863629,107211123.941
"Boise City, ID",43.6176164,-116.3015082,365627256.985
"Ketchum, ID",43.674529,-114.3712539,20804091.562
"Arcata, CA",40.8774921,-124.0788952,20648372.981
"Nice, CA",39.1217663,-122.8460922,10318913.74
